,filename,dir_path,SBU_count,BTB_count,plane_count,ellipse_a,ellipse_b,Zr,FA,L,Ratio,Step,Index,SC,KC,plane_area_0,plane_area_1,plane_area_2,plane_area_3,plane_area_4,plane_area_5,plane_area_6,plane_area_7,plane_area_8,plane_area_9,plane_area_10,plane_area_11,plane_area_12
assembly_2345.680157581553.mol2,assembly_2345.680157581553.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_44.59025958861795_FA_13543.54929287599_L_20.6176724740466_Ratio_0.6_Step_1e15.0_Index_3_SC_1.770992064363919_KC_1.131166541867404_2025-08-18_22_52_30,91.0,172.0,2,104.5687915823852,80.64167119882528,44.59025958861795,13543.54929287599,20.6176724740466,0.6,1e15.0,3.0,1.770992064363919,1.131166541867404,29572.59704204793,1666.5119815594444,,,,,,,,,,,
assembly_15805.612231023051.mol2,assembly_15805.612231023051.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_32.32962153858008_FA_21729.14052723995_L_28.0000479929447_Ratio_0.6_Step_1e15.0_Index_0_SC_1.83588038475958_KC_1.247413150626399_2025-08-18_22_52_29,31.0,60.0,1,77.15984243839875,54.49502828754577,32.32962153858008,21729.14052723995,28.0000479929447,0.6,1e15.0,0.0,1.83588038475958,1.247413150626399,12344.374229625428,,,,,,,,,,,,
assembly_44289.20084321716.mol2,assembly_44289.20084321716.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_26.31616042585758_FA_18940.69510072602_L_15.13640703560942_Ratio_0.6_Step_1e15.0_Index_3_SC_1.559891514632405_KC_1.393202592744313_2025-08-18_22_52_34,44.0,87.0,1,81.4124869427058,57.28867828811244,26.31616042585758,18940.69510072602,15.13640703560942,0.6,1e15.0,3.0,1.559891514632405,1.393202592744313,17156.495014769444,,,,,,,,,,,,
assembly_339087.9872693275.mol2,assembly_339087.9872693275.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_29.42594047399653_FA_17482.98604309043_L_15.31698520062219_Ratio_0.6_Step_1e15.0_Index_0_SC_1.100291518933744_KC_0.5842532682474884_2025-08-18_22_52_31,8.0,15.0,1,35.582307400448975,27.57302185284485,29.42594047399653,17482.98604309043,15.31698520062219,0.6,1e15.0,0.0,1.100291518933744,0.5842532682474884,3223.120174303019,,,,,,,,,,,,
assembly_34234.69253422182.mol2,assembly_34234.69253422182.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_34.53079037218308_FA_17753.47955504885_L_18.51550432622032_Ratio_0.6_Step_1e15.0_Index_3_SC_1.530470383318816_KC_0.5092478180348478_2025-08-18_22_52_37,14.0,26.0,1,48.68102066532788,33.5851532125176,34.53079037218308,17753.47955504885,18.51550432622032,0.6,1e15.0,3.0,1.530470383318816,0.5092478180348478,5400.108372498012,,,,,,,,,,,,
assembly_85559.15755585652.mol2,assembly_85559.15755585652.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_36.67161550626071_FA_19948.4443039_L_30.22195105253973_Ratio_0.6_Step_1e15.0_Index_2_SC_0.4319133433865823_KC_1.670414097544129_2025-08-18_22_52_35,59.0,120.0,1,107.72585762066261,68.09666504138754,36.67161550626071,19948.4443039,30.22195105253973,0.6,1e15.0,2.0,0.4319133433865823,1.670414097544129,23311.234159207906,,,,,,,,,,,,
assembly_1042.3197352075101.mol2,assembly_1042.3197352075101.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_39.30539095724224_FA_6864.859044082482_L_21.78260559825158_Ratio_0.6_Step_1e15.0_Index_3_SC_0.5494244724104449_KC_1.000618852294717_2025-08-18_22_52_34,133.0,284.0,3,97.62173116807541,94.32430067355841,39.30539095724224,6864.859044082482,21.78260559825158,0.6,1e15.0,3.0,0.5494244724104449,1.000618852294717,33267.4025211243,12284.385727633646,8813.674750768088,,,,,,,,,,
assembly_2199.32695288522.mol2,assembly_2199.32695288522.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_30.31159338774847_FA_10084.74537441479_L_11.00857297015944_Ratio_0.6_Step_1e15.0_Index_0_SC_0.5804724551120796_KC_1.420970760353751_2025-08-18_22_52_39,73.0,151.0,3,85.35059333269598,69.09191728717757,30.31159338774847,10084.74537441479,11.00857297015944,0.6,1e15.0,0.0,0.5804724551120796,1.420970760353751,19747.296769865396,9432.969810904691,3034.5990165844546,,,,,,,,,,
assembly_1140.020183358881.mol2,assembly_1140.020183358881.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_26.04218586079736_FA_9248.163930399798_L_29.00135175103679_Ratio_0.6_Step_1e15.0_Index_2_SC_1.349600522575434_KC_1.783647792005434_2025-08-18_22_52_39,158.0,339.0,1,150.16868961244757,106.03965768037153,26.04218586079736,9248.163930399798,29.00135175103679,0.6,1e15.0,2.0,1.349600522575434,1.783647792005434,53361.701366681285,,,,,,,,,,,,
assembly_257.5967287405123.mol2,assembly_257.5967287405123.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_41.35102950525574_FA_2186.378431247531_L_8.931258139128085_Ratio_0.6_Step_1e15.0_Index_2_SC_0.402232569627718_KC_1.905584204816933_2025-08-18_22_52_37,227.0,522.0,4,151.88358711476664,102.45831434834676,41.35102950525574,2186.378431247531,8.931258139128085,0.6,1e15.0,2.0,0.402232569627718,1.905584204816933,52501.753798324404,20119.310650718086,20807.227886867582,12131.997018769742,,,,,,,,,
assembly_180503.0675940912.mol2,assembly_180503.0675940912.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_10.27282596841836_FA_5114.330121364401_L_13.1202600735129_Ratio_0.6_Step_1e15.0_Index_2_SC_1.216810005595321_KC_0.2457721460831695_2025-08-18_22_52_32,4.0,6.0,1,23.73265484482095,16.81949061434401,10.27282596841836,5114.330121364401,13.1202600735129,0.6,1e15.0,2.0,1.216810005595321,0.2457721460831695,1268.2638245745725,,,,,,,,,,,,
assembly_685.5651196452538.mol2,assembly_685.5651196452538.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_16.19194713952574_FA_3627.969458577109_L_15.89177991900289_Ratio_0.6_Step_1e15.0_Index_3_SC_1.808407189979406_KC_1.056518328871903_2025-08-18_22_52_40,108.0,221.0,2,132.50765211958083,80.39981581762743,16.19194713952574,3627.969458577109,15.89177991900289,0.6,1e15.0,3.0,1.808407189979406,1.056518328871903,35836.6493358246,4661.065142728778,,,,,,,,,,,
assembly_8404.114053952664.mol2,assembly_8404.114053952664.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_29.74890237337141_FA_17031.81295147251_L_23.50554927724205_Ratio_0.6_Step_1e15.0_Index_1_SC_0.7631050204401421_KC_0.7967983761594585_2025-08-18_22_52_31,24.0,47.0,1,58.65428796399367,41.827507121656964,29.74890237337141,17031.81295147251,23.50554927724205,0.6,1e15.0,1.0,0.7631050204401421,0.7967983761594585,9494.74597903874,,,,,,,,,,,,
assembly_134419.13364320918.mol2,assembly_134419.13364320918.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_44.50800077234188_FA_6127.446826730043_L_1.585306064913629_Ratio_0.6_Step_1e15.0_Index_2_SC_1.732490116596155_KC_0.8148876923162228_2025-08-18_22_52_33,8.0,14.0,1,35.256330947829,26.15439528008024,44.50800077234188,6127.446826730043,1.585306064913629,0.6,1e15.0,2.0,1.732490116596155,0.8148876923162228,3043.4139197649956,,,,,,,,,,,,
assembly_4928.334420033869.mol2,assembly_4928.334420033869.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_26.31616042585758_FA_18940.69510072602_L_15.13640703560942_Ratio_0.6_Step_1e15.0_Index_2_SC_1.559891514632405_KC_1.393202592744313_2025-08-18_22_52_34,27.0,55.0,1,64.38209587340651,50.62896154663714,26.31616042585758,18940.69510072602,15.13640703560942,0.6,1e15.0,2.0,1.559891514632405,1.393202592744313,10797.087469303102,,,,,,,,,,,,
assembly_4839.426024420139.mol2,assembly_4839.426024420139.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_29.74890237337141_FA_17031.81295147251_L_23.50554927724205_Ratio_0.6_Step_1e15.0_Index_2_SC_0.7631050204401421_KC_0.7967983761594585_2025-08-18_22_52_31,19.0,35.0,2,49.41347437707781,37.885301884990874,29.74890237337141,17031.81295147251,23.50554927724205,0.6,1e15.0,2.0,0.7631050204401421,0.7967983761594585,6482.565488367818,1430.8153559796826,,,,,,,,,,,
